anthro,mu,sigma,nu,tau,sex,ga
birth HC,33.85477,1.146962,1.033177,26.17975,Male,273
birth HC,33.91455,1.143288,1.033177,26.17975,Male,274
birth HC,33.9739,1.139665,1.033177,26.17975,Male,275
birth HC,34.03283,1.136092,1.033177,26.17975,Male,276
birth HC,34.09134,1.132569,1.033177,26.17975,Male,277
birth HC,34.14943,1.129095,1.033177,26.17975,Male,278
birth HC,34.20713,1.125669,1.033177,26.17975,Male,279
birth HC,34.26442,1.122289,1.033177,26.17975,Male,280
birth HC,34.32133,1.118956,1.033177,26.17975,Male,281
birth HC,34.37785,1.115667,1.033177,26.17975,Male,282
birth HC,34.434,1.112423,1.033177,26.17975,Male,283
birth HC,34.48979,1.109222,1.033177,26.17975,Male,284
birth HC,34.54521,1.106065,1.033177,26.17975,Male,285
birth HC,34.60028,1.102949,1.033177,26.17975,Male,286
birth HC,34.65499,1.099874,1.033177,26.17975,Male,287
birth HC,34.70937,1.096839,1.033177,26.17975,Male,288
birth HC,34.76341,1.093845,1.033177,26.17975,Male,289
birth HC,34.81712,1.090889,1.033177,26.17975,Male,290
birth HC,34.87051,1.087971,1.033177,26.17975,Male,291
birth HC,34.92358,1.085092,1.033177,26.17975,Male,292
birth HC,34.97634,1.082249,1.033177,26.17975,Male,293
birth HC,35.0288,1.079442,1.033177,26.17975,Male,294
birth HC,35.08095,1.076671,1.033177,26.17975,Male,295
birth HC,35.13281,1.073935,1.033177,26.17975,Male,296
birth HC,35.18439,1.071234,1.033177,26.17975,Male,297
birth HC,35.23568,1.068566,1.033177,26.17975,Male,298
birth HC,35.28669,1.065932,1.033177,26.17975,Male,299
birth HC,35.33743,1.06333,1.033177,26.17975,Male,300
